SExCYs Farewell sequence                               6.30 pm 

Anthem + hosting                                                    10min 

Speech of director + HOS + HODs					    10 min

Video speech of rector						    5 min
	
Poetry							            5 min

Titles p1 se 							    5 min

Dance cys						            10 min

Soz the band 							    15 min

Titles p2							    5 min

Stand up comedy cy						    10 min

if rector appears live speech                                        10 mins
			
Titles p3							     5 min

Mahad concert							     30 min

Farewell Video                                                       5-10mins

Group photo							     10 min

Titles p4							      5 min

Best dressed male and female crowning		                     5 min


